,Current date,HCHO_value,Location
1460,2024-01-01,0.00010838367113823236,Jaffna
1461,2024-01-02,0.00011125685756487001,Jaffna
1462,2024-01-03,0.00011086069562321323,Jaffna
1463,2024-01-04,0.00011269352468587374,Jaffna
1464,2024-01-05,0.00011297280993970892,Jaffna
1465,2024-01-06,0.00011283748637252701,Jaffna
1466,2024-01-07,0.00011300682210525586,Jaffna
1467,2024-01-08,0.00011307971703158002,Jaffna
1468,2024-01-09,0.00011318817461599583,Jaffna
1469,2024-01-10,0.0001132216386614399,Jaffna
1470,2024-01-11,0.00011323418335748831,Jaffna
1471,2024-01-12,0.00011325145948932986,Jaffna
1472,2024-01-13,0.00011326283709811237,Jaffna
1473,2024-01-14,0.00011327192655880442,Jaffna
1474,2024-01-15,0.00011327638101436905,Jaffna
1475,2024-01-16,0.00011327904394957697,Jaffna
1476,2024-01-17,0.00011328114102050035,Jaffna
1477,2024-01-18,0.00011328256660507622,Jaffna
1478,2024-01-19,0.00011328354071654515,Jaffna
1479,2024-01-20,0.00011328412155214808,Jaffna
1480,2024-01-21,0.00011328449767939584,Jaffna
1481,2024-01-22,0.00011328475966049631,Jaffna
1482,2024-01-23,0.0001132849353380537,Jaffna
1483,2024-01-24,0.0001132850515350426,Jaffna
1484,2024-01-25,0.00011328512576053401,Jaffna
1485,2024-01-26,0.00011328517462496199,Jaffna
1486,2024-01-27,0.00011328520746184474,Jaffna
1487,2024-01-28,0.00011328522927269386,Jaffna
1488,2024-01-29,0.00011328524364057477,Jaffna
1489,2024-01-30,0.00011328525302830025,Jaffna
